"","State","Life.expectancy.all.races.2017","X2017.poverty.rate","CurrentSmoker.","X1fruit.day.","X1veg.day.","infant.mortality.per.live.1000.births","Life.expectancy.all.races.2017.1","yFitted","yRes"
"1","Alabama",74.9,16.9,20.93,55.15,80.72,7.4,74.9,76.5953465849661,-1.69534658496607
"2","Alaska",77.8,11.1,21.01,63.12,81,5.6,77.8,76.5606393276046,1.23936067239539
"3","Arizona",79.2,14.9,15.56,63,79.37,5.7,79.2,78.9250712353485,0.274928764651483
"4","Arkansas",75.4,16.4,22.29,55.64,80.81,8.2,75.4,76.0053232098225,-0.605323209822535
"5","California",80.9,13.3,11.34,67.53,78.58,4.2,80.9,80.7558790611612,0.144120938838761
"6","Colorado",79.9,10.3,14.63,66.99,82.61,4.5,79.9,79.3285431021745,0.571456897825459
"7","Connecticut",80.4,9.6,12.73,68.75,83.23,4.5,80.4,80.1528404645073,0.247159535492715
"8","Delaware",78.2,13.6,17.03,64.64,82.84,6.6,78.2,78.2873253813332,-0.0873253813331843
"9","District of Columbia",77.1,16.6,14.35,68.9,87.67,7.1,77.1,79.4500185029394,-2.35001850293938
"10","Florida",79.1,14,16.09,65.72,80.7,6.1,79.1,78.6951356553294,0.404864344670607
"11","Georgia",77.1,14.9,17.45,61.4,81.91,7.2,77.1,78.1051122801859,-1.00511228018596
"12","Hawaii",81.5,9.5,12.79,62.99,78.96,5.3,81.5,80.1268100214862,1.37318997851374
"13","Idaho",79,12.8,14.35,64.58,84.13,4.6,79,79.4500185029394,-0.450018502939373
"14","Illinois",79,12.6,15.46,66.7,78.73,6.1,79,78.9684553070502,0.0315446929497566
"15","Indiana",77,13.5,21.78,59.35,80.8,7.3,77,76.2265819755013,0.773418024498671
"16","Iowa",79.4,10.7,17.08,64.4,80.69,5.3,79.4,78.2656333454823,1.13436665451768
"17","Kansas",78.2,11.9,17.38,62.45,82.72,6.1,78.2,78.1354811303772,0.0645188696228464
"18","Kentucky",75,17.2,24.59,57.34,82.97,6.5,75,75.0074895606829,-0.00748956068290474
"19","Louisiana",75.4,19.7,23.05,54.98,76.14,7.1,75.4,75.6756042648894,-0.275604264889438
"20","Maine",78,11.1,17.3,68.62,87.57,5.7,78,78.1701883877385,-0.170188387738534
"21","Maryland",78.8,9.3,13.85,65.68,81.72,6.4,78.8,79.666938861448,-0.866938861447992
"22","Massachusetts",79.9,10.5,13.67,68.78,83.34,3.7,79.9,79.7450301905111,0.154969809488915
"23","Michigan",77.6,14.2,19.3,63.61,81.55,6.8,77.6,77.3025069537041,0.297493046295926
"24","Minnesota",80.7,9.5,14.51,67.75,82.02,4.8,80.7,79.3806039882166,1.31939601178339
"25","Mississippi",74.5,19.8,22.19,53.73,78.65,8.6,74.5,76.0487072815243,-1.54870728152426
"26","Missouri",77.1,13.4,20.77,60.06,83.1,6.2,77.1,76.6647610996887,0.435238900311259
"27","Montana",76.9,12.5,17.16,63.62,84.92,5.4,76.9,78.230926088121,-1.33092608812094
"28","Nebraska",79.1,10.8,15.39,63.15,80.04,5.6,79.1,78.9988241572414,0.101175842758544
"29","Nevada",77.9,13,17.59,62.43,77.91,5.8,77.9,78.0443745798035,-0.144374579803531
"30","New Hampshire",79.1,7.7,15.67,69.9,86.53,4.2,79.1,78.8773487564766,0.222651243523369
"31","New Jersey",80.7,10,13.74,66.36,80.92,4.5,80.7,79.7146613403199,0.985338659680118
"32","New Mexico",77.7,19.7,17.49,62.55,79.55,5.9,77.7,78.0877586515053,-0.387758651505258
"33","New York",80.6,14.1,14.09,66.53,79.69,4.6,80.6,79.5628170893638,1.03718291063614
"34","North Carolina",77.8,14.7,17.19,62.64,84.39,7.1,77.8,78.2179108666104,-0.417910866610433
"35","North Dakota",78.6,10.3,18.27,63.2,80.21,4.3,78.6,77.7493628922318,0.850637107768176
"36","Ohio",76.6,14,21.13,62.3,81.34,7.2,76.6,76.5085784415625,0.0914215584374625
"37","Oklahoma",75.4,15.8,20.15,54.21,82.94,7.7,75.4,76.9337423442394,-1.53374234423941
"38","Oregon",79.2,13.2,16.09,67.09,83.63,5.4,79.2,78.6951356553294,0.504864344670616
"39","Pennsylvania",78,12.5,18.75,65.96,83.65,6.1,78,77.5411193480635,0.458880651936453
"40","Rhode Island",79.3,11.6,14.95,66.55,82.29,6.2,79.3,79.189714072729,0.110285927270964
"41","South Carolina",76.2,15.4,18.79,59.44,81.95,6.5,76.2,77.5237657193829,-1.32376571938285
"42","South Dakota",78.1,13,19.28,63.12,83.13,7.7,78.1,77.3111837680444,0.788816231955582
"43","Tennessee",76,15,22.64,61.13,84.2,7.4,76,75.8534789588665,0.146521041133491
"44","Texas",78.5,14.7,15.71,60.58,78.06,5.9,78.5,78.8599951277959,-0.359995127795935
"45","Utah",79.3,9.7,8.88,67.88,82.67,5.9,79.3,81.8231272250236,-2.52312722502364
"46","Vermont",79.9,11.3,15.81,70.42,87.23,4.8,79.9,78.8166110560942,1.08338894390579
"47","Virginia",79.1,10.6,16.38,63.39,84.23,5.9,79.1,78.5693218473944,0.530678152605605
"48","Washington",79.9,11,13.49,68.16,83.37,3.9,79.9,79.8231215195742,0.0768784804258126
"49","West Virginia",74.8,19.1,26.01,55.06,81.66,7,74.8,74.3914357425184,0.408564257481564
"50","Wisconsin",79.5,11.3,16.02,67.59,81.01,6.4,79.5,78.7255045055206,0.774495494479407
"51","Wyoming",78,11.3,18.72,62.38,84.71,4.6,78,77.5541345695741,0.445865430425936
